threshold,approve_rate,book_default_rate,total_profit,avg_profit_per_loan
0.02,0.020801419286603777,0.01984582581597507,5025061.990316821,824.1859915231788
0.024422110552763818,0.03011548762388905,0.024810241305086665,7360235.6239332855,833.832063434155
0.02884422110552764,0.03149042152129783,0.02535211267605634,7683812.792046401,832.482426007194
0.03326633165829146,0.04432882414151925,0.029939198029708305,10993940.928165108,846.1433793708234
0.03768844221105527,0.047184456082291326,0.03138105567606652,11666322.956586078,843.5519129852551
0.0421105527638191,0.0792958154927415,0.039325359263402464,20127600.12387745,866.0012100454974
0.046532663316582915,0.08262226847034339,0.04038485361522897,20942538.34081527,864.7866515594528
0.05095477386934673,0.08383343852885485,0.04073742471105323,21199051.509097695,862.732032764842
0.055376884422110556,0.11784172907319902,0.050086855819339894,29349784.72397318,849.7331998834158
0.05979899497487437,0.11850019617543202,0.050297987504678544,29516578.749336444,849.8136858128133
0.0642211055276382,0.14225277630883132,0.0557141144022065,35064350.09378221,840.9725409229454
0.06864321608040201,0.17129356373995666,0.06192363614635409,41754477.5772879,831.646534891308
0.07306532663316583,0.1782603503863803,0.0634844686022699,43457320.68330539,831.734974512534
0.07748743718592965,0.178263762133024,0.06348325358851675,43460659.45305223,831.7829560392771
0.08190954773869347,0.19635284283789087,0.06738254100639422,47114758.30979718,818.6467596225532
0.0863316582914573,0.22147012162876784,0.07314292756570231,52365760.46200989,806.6944027792139
0.09075376884422111,0.23271523856638407,0.07501832575868642,54709918.02364501,802.0806043636566
0.09517587939698492,0.2692721038535678,0.08306620209059233,61525287.16070846,779.5411740349504
0.09959798994974875,0.2692755156002115,0.08306514963383423,61526290.148026586,779.5440051190557
0.10402010050251256,0.27463195783081146,0.08395448221029617,62628578.51511699,778.0334242088674
0.10844221105527639,0.2945940874430665,0.08713678529653607,66546750.209936306,770.689777409016
0.1128643216080402,0.31604373859197216,0.09134874883951896,70270189.7515423,758.5788128715407
0.11728643216080402,0.350379556814111,0.0973534051296033,76166133.45686746,741.6515750731996
0.12170854271356785,0.3623547875334778,0.09963467912021694,78040228.56604603,734.786725727309
0.12613065326633166,0.3770491803278688,0.10236619463421255,80328512.57500309,726.8561966701632
0.13055276381909547,0.3770594155677999,0.10236341591414973,80330604.8634474,726.8553978849363
0.1349748743718593,0.38564337012333466,0.10398641116832104,81607996.54266709,721.9774275232859
0.1393969849246231,0.385650193616622,0.1039845712870236,81614048.82654367,722.0181962077893
0.14381909547738692,0.4201361286910834,0.11011498733190411,86994327.68787225,706.4439005381687
0.14824120603015073,0.4201429521843708,0.11012131940948143,86992872.94089244,706.4206140751014
0.15266331658291457,0.476423124818751,0.11957720456596153,94351582.80979748,675.6676559330107
0.15708542713567838,0.47642994831203833,0.11957549196528315,94355842.82255395,675.6884851662367
0.1615075376884422,0.48082768973576023,0.12034087119411352,94965093.50733034,673.8314909022752
0.165929648241206,0.5193190153699186,0.12660381696941825,99618911.60406941,654.4618572681366
0.17035175879396983,0.5193224271165623,0.12660298523151312,99621346.46020694,654.4735537670609
0.17477386934673367,0.5397656130055782,0.13027154126213591,101698461.70030144,642.8149126485478
0.17919597989949748,0.5397656130055782,0.13027154126213591,101698461.70030144,642.8149126485478
0.1836180904522613,0.5639651319493014,0.13457873818065227,103563240.11166753,626.5130889206207
0.1880402010050251,0.5710752119547602,0.13590823550497355,103997747.62763366,621.3086455036811
0.19246231155778892,0.5860868971870149,0.13864423552696684,105081500.74771275,611.7035873196888
0.19688442211055276,0.5889015881680626,0.13899542320838884,105312775.67605801,610.119782608528
0.20130653266331658,0.6054895003497041,0.14198859538406058,106511665.24662423,600.1603928880287
0.2057286432160804,0.6140768666518824,0.14362544377711972,106915751.9634093,594.0127005728644
0.2101507537688442,0.6483239794612852,0.14956821925305352,108949021.47694796,573.3344286703888
0.21457286432160802,0.6483273912079289,0.14956743216789103,108949066.42694795,573.3316481094784
0.21899497487437183,0.6621415533682469,0.15207881407894805,109316026.96981293,563.2611127017262
0.22341708542713568,0.6621415533682469,0.15207881407894805,109316026.96981293,563.2611127017262
0.2278391959798995,0.6920762184200201,0.15755899650482375,109377573.62425898,539.2015500256789
0.2322613065326633,0.6920796301666639,0.1575631494882969,109377623.87425898,539.1991396400281
0.23668341708542712,0.6920796301666639,0.1575631494882969,109377623.87425898,539.1991396400281
0.24110552763819093,0.7109738830794425,0.16113057248428428,108971775.99459997,522.922289911224
0.24552763819095477,0.7109738830794425,0.16113057248428428,108971775.99459997,522.922289911224
0.24994974874371859,0.7109772948260862,0.16112979927156162,108972971.33075203,522.9255166046136
0.2543718592964824,0.722819467426349,0.16320057395852017,108931333.83766404,514.1617365911019
0.25879396984924624,0.7390082052506781,0.1661349817872922,109043161.88829125,503.41476447340693
0.26321608040201006,0.7567254055713822,0.1694815148782687,108334680.66357183,488.4340877528036
0.26763819095477387,0.7567254055713822,0.1694815148782687,108334680.66357183,488.4340877528036
0.2720603015075377,0.7774517664318248,0.17338014262205156,107278295.71517281,470.7769422497984
0.2764824120603015,0.7774585899251122,0.17338300925499284,107282520.2381019,470.79134900890347
0.28090452261306537,0.7787175244366353,0.17371607826643184,107113526.10654816,469.2898281089183
0.2853266331658292,0.7787175244366353,0.17371607826643184,107113526.10654816,469.2898281089183
0.289748743718593,0.778720936183279,0.17371531717831998,107116413.41581695,469.3004219806479
0.2941708542713568,0.7923645110114123,0.17639916295652025,105544149.0428515,454.44980341039883
0.2985929648241206,0.807553607069139,0.17961283999019848,103958077.97732684,439.20133662864424
0.30301507537688444,0.807553607069139,0.17961283999019848,103958077.97732684,439.20133662864424
0.30743718592964825,0.807553607069139,0.17961283999019848,103958077.97732684,439.20133662864424
0.31185929648241206,0.8309240715784446,0.1847233399576264,99414672.12825961,408.1933422908815
0.3162814070351759,0.8309240715784446,0.1847233399576264,99414672.12825961,408.1933422908815
0.3207035175879397,0.8311799525767216,0.18476908994635152,99375048.12874177,407.90503412543876
0.3251256281407035,0.8311799525767216,0.18476908994635152,99375048.12874177,407.90503412543876
0.3295477386934674,0.8586752187782535,0.19094730652172184,94491327.79901731,375.4393552141882
0.3339698492462312,0.8586786305248972,0.19094654783994153,94494857.66818774,375.451888558972
0.338391959798995,0.8586786305248972,0.19094654783994153,94494857.66818774,375.451888558972
0.3428140703517588,0.8586820422715409,0.19094578916419003,94496657.01219055,375.4575460187797
0.34723618090452263,0.8586820422715409,0.19094578916419003,94496657.01219055,375.4575460187797
0.35165829145728644,0.8586820422715409,0.19094578916419003,94496657.01219055,375.4575460187797
0.35608040201005026,0.8670988212415346,0.1930545227050061,91800323.06980452,361.20386333244613
0.36050251256281407,0.8670988212415346,0.1930545227050061,91800323.06980452,361.20386333244613
0.3649246231155779,0.8744067825523276,0.19475756263339225,89683280.83508705,349.9248158751392
0.3693467336683417,0.8813838044386824,0.1964867731421626,87546817.51277055,338.88478471138797
0.37376884422110557,0.8902952866720117,0.19866641118988312,84750315.68900505,324.7760708526731
0.3781909547738694,0.8903839920847478,0.1986811047759181,84756883.01569128,324.7688791907734
0.3826130653266332,0.8924958632571945,0.19912077830233757,84422164.91849631,322.72086591294294
0.387035175879397,0.895034202760103,0.19969200157048705,83733951.86079803,319.18224839157745
0.3914572864321608,0.8951229081728391,0.19969889276389763,83739255.44820243,319.1708324212545
0.39587939698492464,0.8951263199194828,0.19970194308713782,83729046.42820244,319.1307045432809
0.40030150753768845,0.9127411678408761,0.20409749971031177,77296400.15091893,288.927182290215
0.40472361809045226,0.9144879821224476,0.20456571942352103,76510924.97963631,285.44485724063225
0.4091457286432161,0.9144913938690913,0.20456495623820148,76520995.85035424,285.4813643024386
0.4135678391959799,0.9144913938690913,0.20456495623820148,76520995.85035424,285.4813643024386
0.4179899497487437,0.9144913938690913,0.20456495623820148,76520995.85035424,285.4813643024386
0.4224120603015076,0.9144913938690913,0.20456495623820148,76520995.85035424,285.4813643024386
0.4268341708542714,0.9291960219034134,0.20854629303254613,69425702.89537415,254.91166907301636
0.4312562814070352,0.9304344859350745,0.20887739948297673,68805465.05347186,252.2980586087009
0.435678391959799,0.9304378976817181,0.2088766335675208,68805473.81347188,252.29716559890832
0.44010050251256283,0.9322836526159567,0.20935968703454988,68083343.46028827,249.15498399048613
0.44452261306532664,0.9322836526159567,0.20935968703454988,68083343.46028827,249.15498399048613
0.44894472361809046,0.9408130192251923,0.21179879386561357,64035573.58611814,232.21740005192302
0.45336683417085427,0.9408130192251923,0.21179879386561357,64035573.58611814,232.21740005192302
0.4577889447236181,0.940816430971836,0.21180165217328237,64022674.10611814,232.16977968406408
0.4622110552763819,0.940816430971836,0.21180165217328237,64022674.10611814,232.16977968406408
0.4666331658291457,0.9414100748878388,0.21194352231709263,63772391.321861744,231.1163305519539
0.4710552763819096,0.9414100748878388,0.21194352231709263,63772391.321861744,231.1163305519539
0.4754773869346734,0.9480970983094795,0.21393562966908009,59612081.43948631,214.51528449716548
0.4798994974874372,0.9507412019583426,0.21479041293012807,57641407.4601947,206.84690853310474
0.484321608040201,0.9507412019583426,0.21479041293012807,57641407.4601947,206.84690853310474
0.48874371859296484,0.9507412019583426,0.21479041293012807,57641407.4601947,206.84690853310474
0.49316582914572865,0.9554050596202726,0.21620946027982316,54366371.00275672,194.14203633400487
0.49758793969849247,0.9554084713669163,0.21621225918188797,54353488.06275672,194.0953383068428
0.5020100502512562,0.9554084713669163,0.21621225918188797,54353488.06275672,194.0953383068428
0.5064321608040201,0.9554084713669163,0.21621225918188797,54353488.06275672,194.0953383068428
0.5108542713567839,0.9591443339417615,0.21742254473019598,51669849.22702131,183.79343800740335
0.5152763819095477,0.964326777093533,0.2190455299682645,48394947.150125414,171.21924064873895
0.5196984924623116,0.9698094539499497,0.22105777890352357,43418634.83206616,152.7448315323728
0.5241206030150753,0.9698094539499497,0.22105777890352357,43418634.83206616,152.7448315323728
0.5285427135678392,0.9703553334129408,0.22127095522052206,42952086.81001056,151.01853204464783
0.532964824120603,0.9703553334129408,0.22127095522052206,42952086.81001056,151.01853204464783
0.5373869346733668,0.9713754456594054,0.22161810933740758,42186886.75268414,148.17233638088663
